MODULE,THREADS,SCRIPT,MODEL,EXEC_TIME,EXEC_TIME_STDEV,SPEEDUP,EFFICIENCY,EXEC_MEMORY,EXEC_MEMORY_STDEV,MODEL_TIME,MODEL_TIME_STDEV,MODEL_MEMORY,MODEL_MEMORY_STDEV
EgxModuleNoOutput,1,imdb2files,imdb-0.1,32436,3392,1.341,1.341,682,150,1774,331,162,9
EgxModuleNoOutput,1,imdb2files,imdb-0.2,60070,1468,1.274,1.274,239,99,2817,277,297,8
EgxModuleParallelGenerationRuleAtoms,16,imdb2files,imdb-0.1,19926,2124,2.183,0.136,1939,156,1994,126,168,3
EgxModuleParallelGenerationRuleAtoms,16,imdb2files,imdb-0.2,30734,2030,2.49,0.156,961,571,2712,80,298,4
EgxModuleParallelGenerationRuleAtoms,2,imdb2files,imdb-0.1,25498,1069,1.706,0.853,832,425,1839,289,168,4
EgxModuleParallelGenerationRuleAtoms,2,imdb2files,imdb-0.2,44540,1093,1.718,0.859,1041,684,2298,145,302,7
EgxModuleParallelGenerationRuleAtoms,4,imdb2files,imdb-0.1,19637,766,2.216,0.554,1424,45,2038,134,167,4
EgxModuleParallelGenerationRuleAtoms,4,imdb2files,imdb-0.2,34240,956,2.235,0.559,569,143,2711,102,296,3
EgxModuleParallelGenerationRuleAtoms,8,imdb2files,imdb-0.1,18649,726,2.333,0.292,1584,57,2062,107,166,5
EgxModuleParallelGenerationRuleAtoms,8,imdb2files,imdb-0.2,30461,1066,2.512,0.314,1117,676,2764,120,299,4
EgxModuleParallelGenerationRuleAtomsNoOutput,16,imdb2files,imdb-0.1,16951,1381,2.567,0.16,1734,171,1947,134,169,3
EgxModuleParallelGenerationRuleAtomsNoOutput,16,imdb2files,imdb-0.2,28859,1972,2.652,0.166,1189,389,2730,142,299,6
EgxModuleParallelGenerationRuleAtomsNoOutput,2,imdb2files,imdb-0.1,22018,1581,1.976,0.988,869,725,1815,253,166,4
EgxModuleParallelGenerationRuleAtomsNoOutput,2,imdb2files,imdb-0.2,39476,1318,1.939,0.97,1247,604,2392,230,298,6
EgxModuleParallelGenerationRuleAtomsNoOutput,4,imdb2files,imdb-0.1,17977,1047,2.42,0.605,1457,675,1965,94,170,2
EgxModuleParallelGenerationRuleAtomsNoOutput,4,imdb2files,imdb-0.2,32097,2041,2.384,0.596,1046,725,2787,135,301,7
EgxModuleParallelGenerationRuleAtomsNoOutput,8,imdb2files,imdb-0.1,16779,787,2.593,0.324,1566,30,1954,122,168,4
EgxModuleParallelGenerationRuleAtomsNoOutput,8,imdb2files,imdb-0.2,28954,1212,2.643,0.33,879,173,2733,74,296,8
EgxModule,1,imdb2files,imdb-0.1,43508,3392,1.0,1.0,367,189,1974,120,168,3
EgxModule,1,imdb2files,imdb-0.2,76528,2334,1.0,1.0,300,94,2819,119,299,6
EolModuleParallel,8,count,imdb-1.0,469298,18412,2.365,0.296,1109,607,7651,1652,1115,6
EolModuleParallel,8,filter,imdb-1.0,684963,13543,1.601,0.2,1398,608,8082,315,1121,
EolModuleParallel,8,parallelFilter,imdb-1.0,470808,33039,,,1270,914,7805,1114,1121,
EolModuleParallel,8,select,imdb-1.0,475194,8942,2.32,0.29,1149,787,6528,1434,1118,6
EolModule,1,count,imdb-1.0,1109682,16815,,,342,201,6804,1142,1114,6
EolModule,1,filter,imdb-1.0,1096682,10040,,,304,258,8253,209,1121,
EolModule,1,select,imdb-1.0,1102431,16602,,,159,121,8338,802,1118,6
EvlModuleParallelElements,8,equals,eclipseModel-2.5,677,1144,1.728,0.216,626,353,28310,,1744,
EvlModuleParallelElements,8,equals,eclipseModel-3.0,792,1402,1.626,0.203,669,67,37541,,2466,
EvlModuleParallelElements,8,findbugs,eclipseModel-0.1,13984,549,1.408,0.176,452,37,4217,,250,
EvlModule,1,equals,eclipseModel-2.5,1170,1773,1.0,1.0,752,156,33638,,1583,
EvlModule,1,equals,eclipseModel-3.0,1288,2151,1.0,1.0,704,11,38933,,1341,
EvlModule,1,findbugs,eclipseModel-0.1,19689,546,1.0,1.0,181,25,4356,19,250,1
JavaQueryParallel_imdb,1,count,imdb-1.0,12468,859,,,552,500,8356,165,1116,6
JavaQueryParallel_imdb,1,filter,imdb-1.0,12352,1117,,,604,423,8428,945,1116,6
JavaQuery_imdb,1,count,imdb-1.0,31389,888,,,1077,445,7270,1452,1115,8
JavaQuery_imdb,1,filter,imdb-1.0,32748,2140,,,1085,457,8746,672,1098,39
